Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.02680000,      7.44465914,      0.57358798,      0.07444659,      0.49914139,      0.55422950,     13.76611160,
      0.02700000,      7.54471787,      0.57688905,      0.07544718,      0.50144187,      0.56922768,     13.84533728,
      0.02720000,      7.64523424,      0.58017007,      0.07645234,      0.50371772,      0.58449607,     13.92408158,
      0.02740000,      7.74620331,      0.58343093,      0.07746203,      0.50596890,      0.60003666,     14.00234231,
      0.02760000,      7.84762015,      0.58667155,      0.07847620,      0.50819535,      0.61585142,     14.08011731,
      0.02780000,      7.94947980,      0.58989185,      0.07949480,      0.51039705,      0.63194229,     14.15740444,
      0.02800000,      8.05177731,      0.59309173,      0.08051777,      0.51257396,      0.64831118,     14.23420160,
      0.02820000,      8.15450772,      0.59627111,      0.08154508,      0.51472603,      0.66495996,     14.31050669,
      0.02840000,      8.25766607,      0.59942990,      0.08257666,      0.51685324,      0.68189049,     14.38631764,
      0.02860000,      8.36124737,      0.60256802,      0.08361247,      0.51895554,      0.69910458,     14.46163242,
      0.02880000,      8.46524664,      0.60568537,      0.08465247,      0.52103291,      0.71660401,     14.53644900,
      0.02900000,      8.56965888,      0.60878189,      0.08569659,      0.52308530,      0.73439053,     14.61076539,
      0.02920000,      8.67447909,      0.61185748,      0.08674479,      0.52511269,      0.75246588,     14.68457962,
      0.02940000,      8.77970228,      0.61491207,      0.08779702,      0.52711505,      0.77083172,     14.75788975,
      0.02960000,      8.88532344,      0.61794558,      0.08885323,      0.52909234,      0.78948973,     14.83069384,
      0.02980000,      8.99133754,      0.62095792,      0.08991338,      0.53104454,      0.80844151,     14.90299001,
      0.03000000,      9.09773957,      0.62394902,      0.09097740,      0.53297162,      0.82768865,     14.97477638,
      0.03020000,      9.20452451,      0.62691880,      0.09204525,      0.53487355,      0.84723271,     15.04605110,
      0.03040000,      9.31168731,      0.62986718,      0.09311687,      0.53675031,      0.86707521,     15.11681234,
      0.03060000,      9.41922295,      0.63279410,      0.09419223,      0.53860187,      0.88721761,     15.18705830,
      0.03080000,      9.52712638,      0.63569947,      0.09527126,      0.54042820,      0.90766137,     15.25678721,
      0.03100000,      9.63539255,      0.63858322,      0.09635393,      0.54222930,      0.92840790,     15.32599731,
