        2-nd order single ODE 
     Method: Runge-Kutta 4th order
    t       x(t)        v(t)        energy
   4.23000  -4.15559  -4.99810  21.12500
   4.24000  -4.20537  -4.95630  21.12500
   4.25000  -4.25472  -4.91400  21.12500
   4.26000  -4.30364  -4.87121  21.12500
   4.27000  -4.35214  -4.82793  21.12500
   4.28000  -4.40020  -4.78417  21.12500
   4.29000  -4.44782  -4.73992  21.12500
   4.30000  -4.49500  -4.69521  21.12500
   4.31000  -4.54172  -4.65003  21.12500
   4.32000  -4.58800  -4.60438  21.12500
   4.33000  -4.63381  -4.55827  21.12500
   4.34000  -4.67916  -4.51170  21.12500
   4.35000  -4.72404  -4.46469  21.12500
   4.36000  -4.76845  -4.41722  21.12500
   4.37000  -4.81239  -4.36932  21.12500
   4.38000  -4.85584  -4.32098  21.12500
   4.39000  -4.89880  -4.27220  21.12500
   4.40000  -4.94128  -4.22300  21.12500
   4.41000  -4.98326  -4.17338  21.12500
   4.42000  -5.02475  -4.12334  21.12500
   4.43000  -5.06573  -4.07289  21.12500
   4.44000  -5.10620  -4.02203  21.12500
   4.45000  -5.14617  -3.97076  21.12500
   4.46000  -5.18562  -3.91910  21.12500
   4.47000  -5.22455  -3.86705  21.12500
   4.48000  -5.26296  -3.81462  21.12500
   4.49000  -5.30084  -3.76180  21.12500
   4.50000  -5.33819  -3.70860  21.12500
   4.51000  -5.37501  -3.65503  21.12500
   4.52000  -5.41129  -3.60110  21.12500
   4.53000  -5.44703  -3.54681  21.12500
   4.54000  -5.48223  -3.49216  21.12500
   4.55000  -5.51687  -3.43717  21.12500
   4.56000  -5.55097  -3.38183  21.12500
   4.57000  -5.58451  -3.32615  21.12500
   4.58000  -5.61749  -3.27014  21.12500
   4.59000  -5.64991  -3.21380  21.12500
   4.60000  -5.68176  -3.15714  21.12500
   4.61000  -5.71305  -3.10017  21.12500
   4.62000  -5.74377  -3.04288  21.12500
   4.63000  -5.77391  -2.98530  21.12500
   4.64000  -5.80347  -2.92741  21.12500
   4.65000  -5.83246  -2.86923  21.12500
   4.66000  -5.86086  -2.81076  21.12500
   4.67000  -5.88867  -2.75201  21.12500
   4.68000  -5.91589  -2.69299  21.12500
   4.69000  -5.94253  -2.63370  21.12500
   4.70000  -5.96857  -2.57414  21.12500
   4.71000  -5.99401  -2.51433  21.12500
   4.72000  -6.01885  -2.45426  21.12500
   4.73000  -6.04309  -2.39395  21.12500
   4.74000  -6.06673  -2.33340  21.12500
   4.75000  -6.08976  -2.27262  21.12500
   4.76000  -6.11218  -2.21161  21.12500
   4.77000  -6.13399  -2.15038  21.12500
   4.78000  -6.15519  -2.08893  21.12500
   4.79000  -6.17577  -2.02728  21.12500
   4.80000  -6.19573  -1.96542  21.12500
   4.81000  -6.21508  -1.90336  21.12500
   4.82000  -6.23380  -1.84112  21.12500
   4.83000  -6.25190  -1.77869  21.12500
   4.84000  -6.26937  -1.71608  21.12500
   4.85000  -6.28622  -1.65330  21.12500
   4.86000  -6.30244  -1.59036  21.12500
   4.87000  -6.31803  -1.52726  21.12500
   4.88000  -6.33298  -1.46400  21.12500
   4.89000  -6.34731  -1.40060  21.12500
   4.90000  -6.36100  -1.33706  21.12500
   4.91000  -6.37405  -1.27338  21.12500
   4.92000  -6.38646  -1.20958  21.12500
   4.93000  -6.39824  -1.14566  21.12500
   4.94000  -6.40938  -1.08162  21.12500
   4.95000  -6.41987  -1.01747  21.12500
